type	label	count
node	lineage_AOTUv1	332
node	lineage_AOTUv2	180
node	lineage_AOTUv3	672
node	lineage_AOTUv4	675
node	lineage_BAla1	761
node	lineage_BAla2	333
node	lineage_BAla3	125
node	lineage_BAla4	57
node	lineage_BAlc	1637
node	lineage_BAlp1	124
node	lineage_BAlp2	499
node	lineage_BAlp3	380
node	lineage_BAlp4	385
node	lineage_BAlv	260
node	lineage_BAmas1	304
node	lineage_BAmas2	177
node	lineage_BAmd1	437
node	lineage_BAmd2	130
node	lineage_BAmv1	663
node	lineage_BAmv2	255
node	lineage_BAmv3	924
node	lineage_BLAd1	239
node	lineage_BLAd2	304
node	lineage_BLAd3	6
node	lineage_BLAd4	2
node	lineage_BLAd5	138
node	lineage_BLAl1	303
node	lineage_BLAl2	379
node	lineage_BLAv1	593
node	lineage_BLAv2	822
node	lineage_BLAvm	645
node	lineage_BLD1	605
node	lineage_BLD2	307
node	lineage_BLD3	277
node	lineage_BLD4	381
node	lineage_BLD5	334
node	lineage_BLD6	662
node	lineage_BLP1	898
node	lineage_BLP2	244
node	lineage_BLP3	11
node	lineage_BLP4	421
node	lineage_BLP5	2
node	lineage_BLVa1	252
node	lineage_BLVa2	250
node	lineage_BLVa2a	132
node	lineage_BLVa2b	65
node	lineage_BLVa2c	179
node	lineage_BLVa3	2
node	lineage_BLVa4	2
node	lineage_BLVp1	853
node	lineage_BLVp2	594
node	lineage_CLp1	239
node	lineage_CLp2	127
node	lineage_CM1	328
node	lineage_CM2	2
node	lineage_CM3	1910
node	lineage_CM4	1441
node	lineage_CM5	241
node	lineage_CM6	195
node	lineage_CP1	329
node	lineage_CP2	1087
node	lineage_CP3	576
node	lineage_CP4	127
node	lineage_CP5	98
node	lineage_CP6	145
node	lineage_CREa1	437
node	lineage_CREa2	624
node	lineage_CREl1	211
node	lineage_DALcl1	672
node	lineage_DALcl2	675
node	lineage_DALcm1	624
node	lineage_DALcm2	332
node	lineage_DALd	369
node	lineage_DALl1	180
node	lineage_DALl2	406
node	lineage_DALv1	452
node	lineage_DALv2	815
node	lineage_DALv3	211
node	lineage_DAMd1	261
node	lineage_DAMd2	2
node	lineage_DAMd3	2
node	lineage_DAMv1	2
node	lineage_DAMv2	2
node	lineage_DL1	1087
node	lineage_DL2	576
node	lineage_DM1	1248
node	lineage_DM2	745
node	lineage_DM3	946
node	lineage_DM4	1441
node	lineage_DM5	328
node	lineage_DM6	1910
node	lineage_DPLal1	304
node	lineage_DPLal2	407
node	lineage_DPLal3	231
node	lineage_DPLam	248
node	lineage_DPLc1	278
node	lineage_DPLc2	113
node	lineage_DPLc3	175
node	lineage_DPLc4	239
node	lineage_DPLc5	427
node	lineage_DPLc6	90
node	lineage_DPLcv	2
node	lineage_DPLd	266
node	lineage_DPLl1	372
node	lineage_DPLl2	512
node	lineage_DPLl3	511
node	lineage_DPLm1	262
node	lineage_DPLm2	269
node	lineage_DPLp1	543
node	lineage_DPLp2	271
node	lineage_DPLpv	714
node	lineage_DPMl1	333
node	lineage_DPMl2	110
node	lineage_DPMm1	1248
node	lineage_DPMm2	226
node	lineage_DPMm3	2
node	lineage_DPMpl1	221
node	lineage_DPMpl2	161
node	lineage_DPMpl3	199
node	lineage_DPMpm1	745
node	lineage_DPMpm2	946
node	lineage_EBa1	815
node	lineage_FLAa1	57
node	lineage_FLAa2	304
node	lineage_FLAa3	177
node	lineage_LALa1	499
node	lineage_LALv1	663
node	lineage_LHa1	239
node	lineage_LHa2	252
node	lineage_LHa3	250
node	lineage_LHa4	4
node	lineage_LHd1	266
node	lineage_LHd2	269
node	lineage_LHl1	381
node	lineage_LHl2	407
node	lineage_LHl3	65
node	lineage_LHl4	605
node	lineage_LHp1	421
node	lineage_LHp2	543
node	lineage_LHp3	98
node	lineage_MBp	10868
node	lineage_MBp1	1386
node	lineage_MBp2	1332
node	lineage_MBp3	1333
node	lineage_MBp4	1413
node	lineage_MNB	486
node	lineage_PBp1	195
node	lineage_PSa1	255
node	lineage_PSp1	110
node	lineage_PSp2	241
node	lineage_PSp3	333
node	lineage_SIPa1	304
node	lineage_SIPp1	161
node	lineage_SLPad1	511
node	lineage_SLPal1	304
node	lineage_SLPal2	231
node	lineage_SLPal3	6
node	lineage_SLPal4	4
node	lineage_SLPal5	138
node	lineage_SLPav1	303
node	lineage_SLPav2	307
node	lineage_SLPav3	132
node	lineage_SLPpl1	372
node	lineage_SLPpl2	145
node	lineage_SLPpl3	179
node	lineage_SLPpm1	262
node	lineage_SLPpm2	113
node	lineage_SLPpm3	175
node	lineage_SLPpm4	4
node	lineage_SMPad1	299
node	lineage_SMPad2	462
node	lineage_SMPad3	261
node	lineage_SMPad4	7
node	lineage_SMPpd1	278
node	lineage_SMPpd2	90
node	lineage_SMPpm1	226
node	lineage_SMPpv1	221
node	lineage_SMPpv2	329
node	lineage_TRco	2
node	lineage_TRdl	244
node	lineage_TRdm	227
node	lineage_TRvl	2
node	lineage_TRvm	2
node	lineage_VESa1	125
node	lineage_VESa2	124
node	lineage_VLPa1	406
node	lineage_VLPa2	452
node	lineage_VLPd1	248
node	lineage_VLPl1	5
node	lineage_VLPl2	822
node	lineage_VLPl4	277
node	lineage_VLPp1	244
node	lineage_VLPp2	199
node	lineage_VPNd1	662
node	lineage_VPNd2	957
node	lineage_VPNd3	345
node	lineage_VPNd4	4
node	lineage_VPNp1	334
node	lineage_VPNp2	222
node	lineage_VPNp3	278
node	lineage_VPNv1	302
node	lineage_VPNv2	207
node	lineage_VPNv3	4
node	lineage_WEDa1	260
node	lineage_WEDa2	380
node	lineage_WEDd1	369
node	lineage_WEDd2	130
node	neuronbridge	44696
node	preferred_root	5
node	primary_neuron	12507
node	pub	4641
node	scRNAseq_DataSet	24
node	secondary_neuron	85448
relationship	INSTANCEOF	1466355
relationship	RO_0002120	440
relationship	RO_0002292	262
relationship	SUBCLASSOF	180609
relationship	achieves_planned_objective	11
relationship	adjacent_to	14
relationship	association_has_object	1
relationship	attached_to	189
relationship	attached_to_part_of	36
relationship	bearer_of	5006
relationship	begin	1
relationship	bounding_layer_of	1
relationship	capable_of	117918
relationship	capable_of_part_of	271
relationship	causal_agent_in_process	1
relationship	chebi_is_conjugate_acid_of	5
relationship	chebi_is_conjugate_base_of	5
relationship	completely_varies_with	1
relationship	composed_primarily_of	3334
relationship	concretizes	1
relationship	connected_to	2
relationship	consider	618
relationship	contains	3
relationship	continuous_with	546
relationship	contributes_to	321
relationship	contributor	463775
relationship	created_by	35
relationship	creator	4
relationship	database_cross_reference	1123275
relationship	decreased_in_magnitude_relative_to	1
relationship	denotes	4
relationship	depicts	388365
relationship	derives_from	66
relationship	determined_by	7
relationship	determined_by_part_of	355
relationship	develops_directly_from	18
relationship	develops_from	49305
relationship	develops_from_part_of	7
relationship	develops_into	525
relationship	electrically_synapsed_to	30
relationship	enables	11365
relationship	end	1
relationship	existence_ends_during	4071
relationship	existence_overlaps	115307
relationship	existence_starts_during	4071
relationship	expresses	7061300
relationship	fasciculates_with	6376
relationship	guided_by	1
relationship	happens_during	1
relationship	has_assay_method	108
relationship	has_component	3
relationship	has_cross_section	2
relationship	has_curation_status	444
relationship	has_disposition	2
relationship	has_fasciculating_neuron_projection	232
relationship	has_grain	3
relationship	has_hemidriver	13740
relationship	has_input	113
relationship	has_license	186
relationship	has_location	2
relationship	has_member	12
relationship	has_obsolescence_reason	462
relationship	has_origin	29
relationship	has_output	6
relationship	has_part	19179
relationship	has_participant	7
relationship	has_postsynaptic_terminal_in	166630
relationship	has_presynaptic_terminals_in	133080
relationship	has_proper_part	1
relationship	has_qualifier	1
relationship	has_quality	157
relationship	has_reference	439961
relationship	has_reference_part	1
relationship	has_role	39
relationship	has_scope	2
relationship	has_sensory_dendrite_in	690
relationship	has_sequence	3
relationship	has_sequence_attribute	10
relationship	has_sequence_feature	3
relationship	has_sequence_unit	3
relationship	has_sex_agnostic_part	1
relationship	has_similar_morphology_to	7924912
relationship	has_similar_morphology_to_part_of	664699
relationship	has_soma_location	211325
relationship	has_source	396377
relationship	has_specified_input	8
relationship	has_specified_output	7
relationship	has_subsequence	1
relationship	has_synaptic_IO_in_region	2272
relationship	has_synaptic_IO_throughout	13
relationship	has_variant_part	6
relationship	immediately_preceded_by	249
relationship	immediately_precedes	20
relationship	in_register_with	474098
relationship	in_subset	11250
relationship	in_taxon	7
relationship	increased_in_magnitude_relative_to	1
relationship	inheres_in	14
relationship	innervated_by	17
relationship	innervates	298
relationship	input_of	108
relationship	is_about	12
relationship	is_allele_of	18097
relationship	is_direct_form_of	4
relationship	is_expression_variant_of	1
relationship	is_gene_target_of	1
relationship	is_homeomorphic_for	7
relationship	is_indirect_form_of	2
relationship	is_negative_form_of	7
relationship	is_opposite_of	1
relationship	is_part_of	3790
relationship	is_positive_form_of	7
relationship	is_proper_part_of	1
relationship	is_sequence_of	1
relationship	is_specified_output_of	388394
relationship	is_subsequence_of	2
relationship	is_variant_allele_of	1
relationship	located_in	3
relationship	makes_use_of	45
relationship	may_be_identical_to	48
relationship	member_of	2
relationship	negatively_regulates	416
relationship	non_functional_homolog_of	4
relationship	obsolete_formed_as_result_of	4
relationship	occurs_in	49
relationship	output_of	2
relationship	overlaps	557082
relationship	part_of	701424
relationship	participates_in	1
relationship	positively_regulates	430
relationship	present_in_taxon	5
relationship	process_has_causal_agent	4
relationship	receives_input_from	94
relationship	receives_synaptic_input_from_neuron	811
relationship	receives_synaptic_input_in_region	25338
relationship	receives_synaptic_input_throughout	612
relationship	regulates	458
relationship	results_in_formation_of_anatomical_entity	2
relationship	sends_synaptic_output_throughout	127
relationship	sends_synaptic_output_to_cell	843
relationship	sends_synaptic_output_to_region	22727
relationship	sequence_role	3
relationship	substage_of	196
relationship	surrounded_by	2
relationship	synapsed_to	18158896
relationship	synapsed_via_type_III_bouton_to	14
relationship	synapsed_via_type_II_bouton_to	17
relationship	synapsed_via_type_Ib_bouton_to	217
relationship	synapsed_via_type_Is_bouton_to	1
relationship	synapses_restricted_to_region	34
relationship	temporal_interpretation	36
relationship	term_editor	178
relationship	term_replaced_by	20727
relationship	transcribed_from	1
relationship	transcribed_to	7
relationship	variant_of	3
relationship	varies_with	4
